Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.88695216179
Iter = 0, Error = 0.496735103219, Accuracy = 0.9161, Time = 0.329512834549
Iter = 1, Error = 0.30428566778, Accuracy = 0.9265, Time = 0.320744037628
Iter = 2, Error = 0.264435194604, Accuracy = 0.9373, Time = 0.321125030518
Iter = 3, Error = 0.233269155388, Accuracy = 0.9447, Time = 0.319502830505
Iter = 4, Error = 0.206594711956, Accuracy = 0.9507, Time = 0.321444034576
Iter = 5, Error = 0.183696851239, Accuracy = 0.9553, Time = 0.318907976151
Iter = 6, Error = 0.164100734731, Accuracy = 0.9596, Time = 0.317724943161
Iter = 7, Error = 0.14732613929, Accuracy = 0.9634, Time = 0.319782018661
Iter = 8, Error = 0.132920627265, Accuracy = 0.9657, Time = 0.31875705719
Iter = 9, Error = 0.1204884324, Accuracy = 0.9675, Time = 0.324710845947
Iter = 10, Error = 0.109696323971, Accuracy = 0.9682, Time = 0.326967000961
Iter = 11, Error = 0.100268006949, Accuracy = 0.9689, Time = 0.320816993713
Iter = 12, Error = 0.0919763279359, Accuracy = 0.9699, Time = 0.319883108139
Iter = 13, Error = 0.0846361741185, Accuracy = 0.9717, Time = 0.32196187973
Iter = 14, Error = 0.0780970438638, Accuracy = 0.9723, Time = 0.331403017044
Iter = 15, Error = 0.0722358519083, Accuracy = 0.9732, Time = 0.668832778931
Iter = 16, Error = 0.0669515429284, Accuracy = 0.9735, Time = 0.319769859314
Iter = 17, Error = 0.0621614920957, Accuracy = 0.9744, Time = 0.320672988892
Iter = 18, Error = 0.0577985600656, Accuracy = 0.9753, Time = 0.358291864395
Iter = 19, Error = 0.0538081890448, Accuracy = 0.9758, Time = 0.333818912506
Iter = 20, Error = 0.0501457499364, Accuracy = 0.976, Time = 0.334226131439
Iter = 21, Error = 0.0467743527149, Accuracy = 0.9761, Time = 0.332894086838
Iter = 22, Error = 0.0436631419584, Accuracy = 0.9765, Time = 0.330286026001
Iter = 23, Error = 0.0407860618742, Accuracy = 0.9767, Time = 0.328765153885
Iter = 24, Error = 0.038120847617, Accuracy = 0.9771, Time = 0.318578958511
Iter = 25, Error = 0.0356482089392, Accuracy = 0.9774, Time = 0.319300174713
Iter = 26, Error = 0.0333512378714, Accuracy = 0.9771, Time = 0.319151878357
Iter = 27, Error = 0.0312150510092, Accuracy = 0.9771, Time = 0.320213079453
Iter = 28, Error = 0.0292265751742, Accuracy = 0.9771, Time = 0.319103002548
Iter = 29, Error = 0.0273743790189, Accuracy = 0.9771, Time = 0.319890975952
Iter = 30, Error = 0.0256484606282, Accuracy = 0.9774, Time = 0.318920135498
Iter = 31, Error = 0.024039975065, Accuracy = 0.9775, Time = 0.318670034409
Iter = 32, Error = 0.022541024562, Accuracy = 0.9776, Time = 0.320540904999
Iter = 33, Error = 0.02114444959, Accuracy = 0.9777, Time = 0.319447040558
Iter = 34, Error = 0.019843701434, Accuracy = 0.9778, Time = 0.321324110031
Iter = 35, Error = 0.0186327178772, Accuracy = 0.9781, Time = 0.319077968597
Iter = 36, Error = 0.0175057849632, Accuracy = 0.9784, Time = 0.321125984192
Iter = 37, Error = 0.0164574392728, Accuracy = 0.9786, Time = 0.31934595108
Iter = 38, Error = 0.015482372515, Accuracy = 0.9786, Time = 0.321006774902
Iter = 39, Error = 0.0145754218113, Accuracy = 0.9788, Time = 0.319395065308
Iter = 40, Error = 0.0137316583646, Accuracy = 0.9788, Time = 0.319493055344
Iter = 41, Error = 0.0129464573419, Accuracy = 0.9788, Time = 0.318670034409
Iter = 42, Error = 0.0122155494687, Accuracy = 0.9787, Time = 0.318216085434
Iter = 43, Error = 0.0115350310219, Accuracy = 0.9788, Time = 0.319015026093
Iter = 44, Error = 0.0109013329862, Accuracy = 0.9788, Time = 0.318308115005
Iter = 45, Error = 0.0103111784022, Accuracy = 0.979, Time = 0.318534135818
Iter = 46, Error = 0.0097615396255, Accuracy = 0.9791, Time = 0.31830406189
Iter = 47, Error = 0.00924960803449, Accuracy = 0.9791, Time = 0.319576025009
Iter = 48, Error = 0.00877277286577, Accuracy = 0.9793, Time = 0.337527036667
