Couldn't import dot_parser, loading of dot files will not be possible.
784 10
3.98602247238
Iter = 0, Error = 0.799685192611, Accuracy = 0.8848, Time = 0.24316906929
Iter = 1, Error = 0.414587285665, Accuracy = 0.898, Time = 0.241980075836
Iter = 2, Error = 0.364270870414, Accuracy = 0.9071, Time = 0.213593006134
Iter = 3, Error = 0.338630023477, Accuracy = 0.9117, Time = 0.215955018997
Iter = 4, Error = 0.321736388766, Accuracy = 0.9158, Time = 0.220126867294
Iter = 5, Error = 0.309071316705, Accuracy = 0.9192, Time = 0.224958896637
Iter = 6, Error = 0.29877769101, Accuracy = 0.9211, Time = 0.224499940872
Iter = 7, Error = 0.289933555781, Accuracy = 0.923, Time = 0.223133087158
Iter = 8, Error = 0.282027637962, Accuracy = 0.9245, Time = 0.220082998276
Iter = 9, Error = 0.274756904358, Accuracy = 0.9269, Time = 0.219362020493
Iter = 10, Error = 0.267934375159, Accuracy = 0.9286, Time = 0.220309019089
Iter = 11, Error = 0.261441972459, Accuracy = 0.9305, Time = 0.21931385994
Iter = 12, Error = 0.255204031058, Accuracy = 0.9313, Time = 0.221294879913
Iter = 13, Error = 0.249171776845, Accuracy = 0.9337, Time = 0.219549894333
Iter = 14, Error = 0.243313822295, Accuracy = 0.9356, Time = 0.221140861511
Iter = 15, Error = 0.237610187658, Accuracy = 0.9378, Time = 0.22354888916
Iter = 16, Error = 0.232048560477, Accuracy = 0.9394, Time = 0.221972942352
Iter = 17, Error = 0.22662164773, Accuracy = 0.9411, Time = 0.249188899994
Iter = 18, Error = 0.221325451351, Accuracy = 0.9424, Time = 0.222265005112
Iter = 19, Error = 0.216158160116, Accuracy = 0.944, Time = 0.221565961838
Iter = 20, Error = 0.211119235896, Accuracy = 0.9456, Time = 0.223894119263
Iter = 21, Error = 0.206208816527, Accuracy = 0.9471, Time = 0.223304986954
Iter = 22, Error = 0.201427342699, Accuracy = 0.9481, Time = 0.222107887268
Iter = 23, Error = 0.196775233749, Accuracy = 0.949, Time = 0.221122980118
Iter = 24, Error = 0.192252694093, Accuracy = 0.9507, Time = 0.307584047318
Iter = 25, Error = 0.187859566649, Accuracy = 0.951, Time = 0.235889196396
Iter = 26, Error = 0.183595304008, Accuracy = 0.9522, Time = 0.22132396698
Iter = 27, Error = 0.179458847455, Accuracy = 0.9532, Time = 0.24239397049
Iter = 28, Error = 0.175448700967, Accuracy = 0.9542, Time = 0.236401081085
Iter = 29, Error = 0.171562928554, Accuracy = 0.9548, Time = 0.246268987656
Iter = 30, Error = 0.167799214906, Accuracy = 0.9555, Time = 0.267261981964
Iter = 31, Error = 0.164154886904, Accuracy = 0.9563, Time = 0.239499092102
Iter = 32, Error = 0.160627023519, Accuracy = 0.9568, Time = 0.277789115906
Iter = 33, Error = 0.157212462438, Accuracy = 0.9568, Time = 0.227716207504
Iter = 34, Error = 0.153907899118, Accuracy = 0.9577, Time = 0.258401870728
Iter = 35, Error = 0.150709915163, Accuracy = 0.9582, Time = 0.213104009628
Iter = 36, Error = 0.147615004045, Accuracy = 0.9588, Time = 0.217857837677
Iter = 37, Error = 0.144619640982, Accuracy = 0.9593, Time = 0.212125778198
Iter = 38, Error = 0.141720295886, Accuracy = 0.9594, Time = 0.235368013382
Iter = 39, Error = 0.138913452139, Accuracy = 0.9601, Time = 0.26735496521
Iter = 40, Error = 0.136195668927, Accuracy = 0.9608, Time = 0.249162912369
Iter = 41, Error = 0.133563542929, Accuracy = 0.9614, Time = 0.258775949478
Iter = 42, Error = 0.131013763521, Accuracy = 0.9616, Time = 0.220140218735
Iter = 43, Error = 0.128543106834, Accuracy = 0.9621, Time = 0.247637987137
Iter = 44, Error = 0.126148439053, Accuracy = 0.9627, Time = 0.247592926025
Iter = 45, Error = 0.123826750757, Accuracy = 0.9632, Time = 0.224626064301
Iter = 46, Error = 0.121575116983, Accuracy = 0.9632, Time = 0.229498147964
Iter = 47, Error = 0.119390731735, Accuracy = 0.964, Time = 0.272622108459
Iter = 48, Error = 0.117270888018, Accuracy = 0.9647, Time = 0.22007894516
Iter = 49, Error = 0.115213009736, Accuracy = 0.965, Time = 0.215389966965
Iter = 50, Error = 0.113214595591, Accuracy = 0.9652, Time = 0.241561889648
Iter = 51, Error = 0.111273269414, Accuracy = 0.9656, Time = 0.279075860977
