Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.72984051704
Iter = 0, Error = 0.556212616737, Accuracy = 0.9141, Time = 0.358719825745
Iter = 1, Error = 0.304954979083, Accuracy = 0.9264, Time = 0.35121011734
Iter = 2, Error = 0.265208914114, Accuracy = 0.9355, Time = 0.357920885086
Iter = 3, Error = 0.233994949428, Accuracy = 0.9445, Time = 0.367004156113
Iter = 4, Error = 0.207193067235, Accuracy = 0.9489, Time = 0.350723981857
Iter = 5, Error = 0.184248689324, Accuracy = 0.9544, Time = 0.375664949417
Iter = 6, Error = 0.164685528735, Accuracy = 0.9584, Time = 0.360461950302
Iter = 7, Error = 0.147999462626, Accuracy = 0.9611, Time = 0.392486095428
Iter = 8, Error = 0.13371030821, Accuracy = 0.9636, Time = 0.355830907822
Iter = 9, Error = 0.121391205203, Accuracy = 0.9658, Time = 0.357328891754
Iter = 10, Error = 0.110686089281, Accuracy = 0.9681, Time = 0.363191843033
Iter = 11, Error = 0.101310400116, Accuracy = 0.9697, Time = 0.360142946243
Iter = 12, Error = 0.0930405440252, Accuracy = 0.9706, Time = 0.382509946823
Iter = 13, Error = 0.0856993022325, Accuracy = 0.9713, Time = 0.357820034027
Iter = 14, Error = 0.0791440203981, Accuracy = 0.9723, Time = 0.360534906387
Iter = 15, Error = 0.0732580970287, Accuracy = 0.9731, Time = 0.391314983368
Iter = 16, Error = 0.067944708335, Accuracy = 0.9739, Time = 0.360305070877
Iter = 17, Error = 0.0631234761651, Accuracy = 0.9739, Time = 0.356271028519
Iter = 18, Error = 0.0587283361732, Accuracy = 0.9748, Time = 0.38830280304
Iter = 19, Error = 0.0547050388406, Accuracy = 0.9748, Time = 0.358585834503
Iter = 20, Error = 0.0510087712165, Accuracy = 0.975, Time = 0.361807107925
Iter = 21, Error = 0.0476023731134, Accuracy = 0.9754, Time = 0.374438047409
Iter = 22, Error = 0.0444549738067, Accuracy = 0.9757, Time = 0.35809803009
Iter = 23, Error = 0.0415409182548, Accuracy = 0.9758, Time = 0.358020067215
Iter = 24, Error = 0.0388387238745, Accuracy = 0.9762, Time = 0.360014915466
Iter = 25, Error = 0.0363301251207, Accuracy = 0.9761, Time = 0.379596948624
Iter = 26, Error = 0.0339992610819, Accuracy = 0.9762, Time = 0.325752019882
Iter = 27, Error = 0.0318319868092, Accuracy = 0.9765, Time = 0.332108020782
