Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.74782919884
Iter = 75, Error = 0.00312056037111, Accuracy = 0.9799, Time = 0.330409049988
Iter = 76, Error = 0.00303007575417, Accuracy = 0.9798, Time = 0.328515052795
Iter = 77, Error = 0.00294403157934, Accuracy = 0.9798, Time = 0.327404022217
Iter = 78, Error = 0.00286215191717, Accuracy = 0.9798, Time = 0.328511953354
Iter = 79, Error = 0.00278417788558, Accuracy = 0.9797, Time = 0.32638502121
Iter = 80, Error = 0.00270986930347, Accuracy = 0.9797, Time = 0.329129934311
Iter = 81, Error = 0.00263899961828, Accuracy = 0.9797, Time = 0.326444864273
Iter = 82, Error = 0.00257135964485, Accuracy = 0.9797, Time = 0.627523899078
Iter = 83, Error = 0.00250675304204, Accuracy = 0.9798, Time = 0.317728042603
Iter = 84, Error = 0.00244499647456, Accuracy = 0.9797, Time = 0.317901849747
Iter = 85, Error = 0.00238592099317, Accuracy = 0.9797, Time = 0.318557977676
Iter = 86, Error = 0.00232936714723, Accuracy = 0.9798, Time = 0.317914009094
Iter = 87, Error = 0.00227518793491, Accuracy = 0.9799, Time = 0.31809091568
Iter = 88, Error = 0.00222324537698, Accuracy = 0.9799, Time = 0.345287084579
Iter = 89, Error = 0.00217341145706, Accuracy = 0.9801, Time = 0.331305980682
Iter = 90, Error = 0.00212556687961, Accuracy = 0.9801, Time = 0.332903862
Iter = 91, Error = 0.00207960108958, Accuracy = 0.9802, Time = 0.331433057785
Iter = 92, Error = 0.00203540982024, Accuracy = 0.9802, Time = 0.33248090744
Iter = 93, Error = 0.00199289660006, Accuracy = 0.9803, Time = 0.317803144455
Iter = 94, Error = 0.00195197163076, Accuracy = 0.9803, Time = 0.317260980606
Iter = 95, Error = 0.00191255049531, Accuracy = 0.9804, Time = 0.32052397728
Iter = 96, Error = 0.0018745546406, Accuracy = 0.9804, Time = 0.320979118347
Iter = 97, Error = 0.00183791037955, Accuracy = 0.9804, Time = 0.320909023285
Iter = 98, Error = 0.00180254903209, Accuracy = 0.9804, Time = 0.318688154221
Iter = 99, Error = 0.00176840622755, Accuracy = 0.9803, Time = 0.337517023087
