Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.62379670143
Iter = 76, Error = 0.00205448802094, Accuracy = 0.98, Time = 0.212342023849
Iter = 77, Error = 0.00201234229884, Accuracy = 0.9801, Time = 0.213099956512
Iter = 78, Error = 0.00197173708499, Accuracy = 0.9801, Time = 0.214766979218
Iter = 79, Error = 0.00193259329751, Accuracy = 0.9799, Time = 0.211370944977
Iter = 80, Error = 0.00189483736906, Accuracy = 0.9799, Time = 0.214356899261
Iter = 81, Error = 0.00185840030576, Accuracy = 0.9799, Time = 0.225430011749
Iter = 82, Error = 0.00182321902151, Accuracy = 0.9799, Time = 0.222694158554
Iter = 83, Error = 0.00178923210114, Accuracy = 0.9799, Time = 0.21279001236
Iter = 84, Error = 0.00175638263889, Accuracy = 0.9799, Time = 0.259953022003
Iter = 85, Error = 0.00172461855539, Accuracy = 0.9799, Time = 0.239654064178
Iter = 86, Error = 0.00169388932796, Accuracy = 0.98, Time = 0.243626117706
Iter = 87, Error = 0.0016641469225, Accuracy = 0.9801, Time = 0.227063179016
Iter = 88, Error = 0.00163534776829, Accuracy = 0.9801, Time = 0.223911046982
Iter = 89, Error = 0.00160744879142, Accuracy = 0.9801, Time = 0.220012903214
Iter = 90, Error = 0.00158041130333, Accuracy = 0.9802, Time = 0.223995923996
Iter = 91, Error = 0.0015541976681, Accuracy = 0.9803, Time = 0.220898866653
Iter = 92, Error = 0.00152877249601, Accuracy = 0.9804, Time = 0.241183996201
Iter = 93, Error = 0.00150410199515, Accuracy = 0.9804, Time = 0.222239017487
Iter = 94, Error = 0.0014801548823, Accuracy = 0.9805, Time = 0.213860034943
Iter = 95, Error = 0.00145690019748, Accuracy = 0.9805, Time = 0.21235203743
Iter = 96, Error = 0.001434310833, Accuracy = 0.9805, Time = 0.21292090416
Iter = 97, Error = 0.00141235950026, Accuracy = 0.9805, Time = 0.213122844696
Iter = 98, Error = 0.00139101967908, Accuracy = 0.9805, Time = 0.212383031845
Iter = 99, Error = 0.00137026820653, Accuracy = 0.9805, Time = 0.210783004761
