Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.99426221848
Iter = 77, Error = 0.122960561117, Accuracy = 0.9397, Time = 0.571081876755
Iter = 78, Error = 0.120317514481, Accuracy = 0.9408, Time = 0.281710147858
Iter = 79, Error = 0.119287239054, Accuracy = 0.9387, Time = 0.268632888794
Iter = 80, Error = 0.117748411008, Accuracy = 0.9363, Time = 0.222785949707
Iter = 81, Error = 0.114390675379, Accuracy = 0.9397, Time = 0.222649812698
Iter = 82, Error = 0.113658525905, Accuracy = 0.9406, Time = 0.221458911896
Iter = 83, Error = 0.113351548226, Accuracy = 0.9403, Time = 0.220278024673
Iter = 84, Error = 0.109919299341, Accuracy = 0.9409, Time = 0.22366309166
Iter = 85, Error = 0.112416915948, Accuracy = 0.9434, Time = 0.240071058273
Iter = 86, Error = 0.108049960457, Accuracy = 0.9414, Time = 0.220894813538
Iter = 87, Error = 0.106533366286, Accuracy = 0.9388, Time = 0.219433069229
Iter = 88, Error = 0.108658519297, Accuracy = 0.941, Time = 0.218819856644
Iter = 89, Error = 0.109331295859, Accuracy = 0.941, Time = 0.219686031342
Iter = 90, Error = 0.106568184379, Accuracy = 0.9421, Time = 0.219485044479
Iter = 91, Error = 0.107734933107, Accuracy = 0.942, Time = 0.225485086441
Iter = 92, Error = 0.102864200349, Accuracy = 0.9396, Time = 0.255760908127
Iter = 93, Error = 0.107032481088, Accuracy = 0.942, Time = 0.256118059158
Iter = 94, Error = 0.10868796458, Accuracy = 0.9406, Time = 0.252235174179
Iter = 95, Error = 0.101541583765, Accuracy = 0.9412, Time = 0.222229003906
Iter = 96, Error = 0.102211860366, Accuracy = 0.9407, Time = 0.22247004509
Iter = 97, Error = 0.101174007456, Accuracy = 0.939, Time = 0.22219991684
Iter = 98, Error = 0.098413136796, Accuracy = 0.9414, Time = 0.239351034164
Iter = 99, Error = 0.0985929282892, Accuracy = 0.9406, Time = 0.22297000885
