Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.79234170914
Iter = 0, Error = 0.49658037644, Accuracy = 0.9584, Time = 0.269358873367
Iter = 1, Error = 0.127214857865, Accuracy = 0.9666, Time = 0.255419015884
Iter = 2, Error = 0.0920306280675, Accuracy = 0.9702, Time = 0.253213882446
Iter = 3, Error = 0.0714300549958, Accuracy = 0.9716, Time = 0.252365112305
Iter = 4, Error = 0.0575525008899, Accuracy = 0.9727, Time = 0.260298013687
Iter = 5, Error = 0.0474677353554, Accuracy = 0.9743, Time = 0.251497983932
Iter = 6, Error = 0.0396761164579, Accuracy = 0.976, Time = 0.253796815872
Iter = 7, Error = 0.0335461262321, Accuracy = 0.9769, Time = 0.252599000931
Iter = 8, Error = 0.0286329158527, Accuracy = 0.9767, Time = 0.251266002655
Iter = 9, Error = 0.0246327579238, Accuracy = 0.9766, Time = 0.251921892166
Iter = 10, Error = 0.0213418088733, Accuracy = 0.9767, Time = 0.253222942352
Iter = 11, Error = 0.0185973494233, Accuracy = 0.9768, Time = 0.250823974609
Iter = 12, Error = 0.0162932160179, Accuracy = 0.977, Time = 0.259143829346
Iter = 13, Error = 0.0143605644459, Accuracy = 0.9772, Time = 0.252004861832
Iter = 14, Error = 0.0127320697566, Accuracy = 0.9776, Time = 0.267025947571
Iter = 15, Error = 0.0113636680868, Accuracy = 0.9778, Time = 0.252130031586
Iter = 16, Error = 0.0102062015622, Accuracy = 0.9779, Time = 0.28146481514
Iter = 17, Error = 0.00921725894949, Accuracy = 0.9782, Time = 0.281716108322
Iter = 18, Error = 0.00836238248513, Accuracy = 0.9785, Time = 0.283028125763
Iter = 19, Error = 0.00762231040644, Accuracy = 0.9784, Time = 0.281029939651
Iter = 20, Error = 0.00698308434377, Accuracy = 0.9784, Time = 0.278861999512
Iter = 21, Error = 0.00642721523287, Accuracy = 0.9784, Time = 0.253364086151
Iter = 22, Error = 0.00594096751187, Accuracy = 0.9784, Time = 0.252194881439
