Couldn't import dot_parser, loading of dot files will not be possible.
784 10
3.03340339661
Iter = 0, Error = 0.379029493941, Accuracy = 0.9547, Time = 0.332472085953
Iter = 1, Error = 0.120077880033, Accuracy = 0.9685, Time = 0.311640024185
Iter = 2, Error = 0.073983786842, Accuracy = 0.9709, Time = 0.305340051651
Iter = 3, Error = 0.0487237960384, Accuracy = 0.9721, Time = 0.269325971603
Iter = 4, Error = 0.0316532516663, Accuracy = 0.9735, Time = 0.29292011261
Iter = 5, Error = 0.0201660974697, Accuracy = 0.9774, Time = 0.301538944244
Iter = 6, Error = 0.0135463344468, Accuracy = 0.9783, Time = 0.332395076752
Iter = 7, Error = 0.00854001861424, Accuracy = 0.9796, Time = 0.305322885513
Iter = 8, Error = 0.00563532854859, Accuracy = 0.9801, Time = 0.328619003296
Iter = 9, Error = 0.00372384668155, Accuracy = 0.9804, Time = 0.303765058517
Iter = 10, Error = 0.00262094359022, Accuracy = 0.9813, Time = 0.323652029037
Iter = 11, Error = 0.00196180517415, Accuracy = 0.9813, Time = 0.268939971924
Iter = 12, Error = 0.00155399240641, Accuracy = 0.9812, Time = 0.266582012177
Iter = 13, Error = 0.00125931528301, Accuracy = 0.9813, Time = 0.268384933472
Iter = 14, Error = 0.00106687728259, Accuracy = 0.9816, Time = 0.267583847046
Iter = 15, Error = 0.000923328341053, Accuracy = 0.9816, Time = 0.26810503006
Iter = 16, Error = 0.000813426006331, Accuracy = 0.9818, Time = 0.266462087631
Iter = 17, Error = 0.000726977996609, Accuracy = 0.982, Time = 0.360373020172
Iter = 18, Error = 0.000657317902032, Accuracy = 0.9821, Time = 0.273736000061
Iter = 19, Error = 0.000599932167512, Accuracy = 0.9822, Time = 0.269645929337
Iter = 20, Error = 0.000551801272928, Accuracy = 0.9823, Time = 0.266787052155
Iter = 21, Error = 0.000510830286304, Accuracy = 0.9824, Time = 0.326745986938
Iter = 22, Error = 0.000475519769921, Accuracy = 0.9825, Time = 0.26846408844
Iter = 23, Error = 0.000444763470507, Accuracy = 0.9824, Time = 0.290858983994
Iter = 24, Error = 0.00041772639273, Accuracy = 0.9823, Time = 0.281095981598
Iter = 25, Error = 0.00039376690346, Accuracy = 0.9823, Time = 0.267606019974
Iter = 26, Error = 0.000372383672677, Accuracy = 0.9824, Time = 0.292303085327
Iter = 27, Error = 0.000353179860424, Accuracy = 0.9823, Time = 0.276087999344
Iter = 28, Error = 0.000335836730994, Accuracy = 0.9824, Time = 0.313288927078
Iter = 29, Error = 0.000320095310678, Accuracy = 0.9823, Time = 0.302402973175
Iter = 30, Error = 0.000305743177112, Accuracy = 0.9823, Time = 0.280905008316
Iter = 31, Error = 0.000292603939968, Accuracy = 0.9824, Time = 0.29328584671
Iter = 32, Error = 0.000280530150954, Accuracy = 0.9825, Time = 0.337464094162
Iter = 33, Error = 0.000269397275367, Accuracy = 0.9826, Time = 0.283985137939
Iter = 34, Error = 0.000259099860645, Accuracy = 0.9826, Time = 0.294651031494
Iter = 35, Error = 0.000249547238615, Accuracy = 0.9826, Time = 0.295091867447
Iter = 36, Error = 0.000240661739375, Accuracy = 0.9826, Time = 0.306828022003
Iter = 37, Error = 0.00023237595061, Accuracy = 0.9826, Time = 0.34638094902
Iter = 38, Error = 0.000224631369807, Accuracy = 0.9827, Time = 0.311007976532
Iter = 39, Error = 0.000217376695325, Accuracy = 0.9828, Time = 0.293364048004
Iter = 40, Error = 0.000210567034561, Accuracy = 0.9828, Time = 0.273614168167
Iter = 41, Error = 0.000204162698849, Accuracy = 0.9828, Time = 0.304259061813
Iter = 42, Error = 0.000198128799532, Accuracy = 0.9828, Time = 0.27876996994
Iter = 43, Error = 0.000192434143124, Accuracy = 0.9828, Time = 0.292476892471
Iter = 44, Error = 0.000187050732698, Accuracy = 0.9829, Time = 0.311982154846
Iter = 45, Error = 0.000181954061097, Accuracy = 0.9829, Time = 0.329855918884
Iter = 46, Error = 0.000177121830582, Accuracy = 0.9831, Time = 0.310894966125
Iter = 47, Error = 0.000172533965381, Accuracy = 0.9831, Time = 0.270900011063
Iter = 48, Error = 0.000168172441002, Accuracy = 0.9831, Time = 0.315325021744
Iter = 49, Error = 0.000164020943575, Accuracy = 0.983, Time = 0.306354045868
Iter = 50, Error = 0.00016006475583, Accuracy = 0.9831, Time = 0.298786878586
Iter = 51, Error = 0.000156290369305, Accuracy = 0.9831, Time = 0.302839040756
Iter = 52, Error = 0.000152685572096, Accuracy = 0.983, Time = 0.307020902634
Iter = 53, Error = 0.000149239299687, Accuracy = 0.983, Time = 0.304754972458
Iter = 54, Error = 0.000145941270845, Accuracy = 0.983, Time = 0.329758882523
Iter = 55, Error = 0.000142782130789, Accuracy = 0.983, Time = 0.349604845047
Iter = 56, Error = 0.000139753359988, Accuracy = 0.983, Time = 0.305613040924
Iter = 57, Error = 0.000136847114043, Accuracy = 0.983, Time = 0.276221036911
Iter = 58, Error = 0.000134056034515, Accuracy = 0.983, Time = 0.293169021606
Iter = 59, Error = 0.000131373530227, Accuracy = 0.9831, Time = 0.298223018646
