Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.66530036926
Iter = 75, Error = 0.00259039746388, Accuracy = 0.98, Time = 0.225862026215
Iter = 76, Error = 0.00253663986416, Accuracy = 0.98, Time = 0.212475061417
Iter = 77, Error = 0.00248487886054, Accuracy = 0.9799, Time = 0.211781024933
Iter = 78, Error = 0.00243500846824, Accuracy = 0.9799, Time = 0.209675073624
Iter = 79, Error = 0.00238693189626, Accuracy = 0.9799, Time = 0.209583997726
Iter = 80, Error = 0.00234055834162, Accuracy = 0.9799, Time = 0.210538864136
Iter = 81, Error = 0.00229580224018, Accuracy = 0.9799, Time = 0.209729909897
Iter = 82, Error = 0.0022525836664, Accuracy = 0.9799, Time = 0.211400985718
Iter = 83, Error = 0.00221082765338, Accuracy = 0.9799, Time = 0.209645032883
Iter = 84, Error = 0.0021704646847, Accuracy = 0.9799, Time = 0.209774017334
Iter = 85, Error = 0.0021314276852, Accuracy = 0.9799, Time = 0.210005044937
Iter = 86, Error = 0.00209365614139, Accuracy = 0.9798, Time = 0.209572076797
Iter = 87, Error = 0.00205709219053, Accuracy = 0.9799, Time = 0.20992898941
Iter = 88, Error = 0.00202168035991, Accuracy = 0.98, Time = 0.210175037384
Iter = 89, Error = 0.00198736918651, Accuracy = 0.9801, Time = 0.218399047852
Iter = 90, Error = 0.00195411002123, Accuracy = 0.98, Time = 0.218264102936
Iter = 91, Error = 0.00192185674425, Accuracy = 0.9801, Time = 0.221528053284
Iter = 92, Error = 0.00189056649686, Accuracy = 0.9801, Time = 0.221046924591
Iter = 93, Error = 0.00186019887678, Accuracy = 0.9801, Time = 0.225295066833
Iter = 94, Error = 0.00183071443194, Accuracy = 0.9801, Time = 0.23307299614
Iter = 95, Error = 0.00180207605257, Accuracy = 0.98, Time = 0.228271007538
Iter = 96, Error = 0.00177425027388, Accuracy = 0.9801, Time = 0.228626012802
Iter = 97, Error = 0.00174720392677, Accuracy = 0.9801, Time = 0.225980997086
Iter = 98, Error = 0.0017209059106, Accuracy = 0.9801, Time = 0.219360113144
Iter = 99, Error = 0.0016953262885, Accuracy = 0.9801, Time = 0.221585035324
