Couldn't import dot_parser, loading of dot files will not be possible.
784 10
3.37024140358
Iter = 75, Error = 0.00317497369196, Accuracy = 0.9817, Time = 0.299630880356
Iter = 76, Error = 0.00308389061689, Accuracy = 0.9817, Time = 0.335063934326
Iter = 77, Error = 0.0029972522477, Accuracy = 0.9817, Time = 0.320117950439
Iter = 78, Error = 0.00291476441774, Accuracy = 0.9817, Time = 0.301656961441
Iter = 79, Error = 0.00283615299262, Accuracy = 0.9817, Time = 0.31257390976
Iter = 80, Error = 0.00276117802114, Accuracy = 0.9817, Time = 0.311103105545
Iter = 81, Error = 0.00268960488207, Accuracy = 0.9817, Time = 0.324163913727
Iter = 82, Error = 0.00262122271087, Accuracy = 0.9817, Time = 0.323146104813
Iter = 83, Error = 0.00255583845796, Accuracy = 0.9817, Time = 0.298659086227
Iter = 84, Error = 0.00249327163142, Accuracy = 0.9817, Time = 0.303689002991
Iter = 85, Error = 0.00243335335409, Accuracy = 0.9817, Time = 0.29071187973
Iter = 86, Error = 0.00237592997904, Accuracy = 0.9817, Time = 0.267566204071
Iter = 87, Error = 0.0023208587958, Accuracy = 0.9817, Time = 0.278913021088
Iter = 88, Error = 0.00226800362906, Accuracy = 0.9816, Time = 0.301748991013
Iter = 89, Error = 0.00221724421254, Accuracy = 0.9817, Time = 0.290921211243
Iter = 90, Error = 0.00216846351678, Accuracy = 0.9817, Time = 0.29154586792
Iter = 91, Error = 0.00212155525205, Accuracy = 0.9817, Time = 0.276502132416
Iter = 92, Error = 0.00207641844325, Accuracy = 0.9817, Time = 0.275651931763
Iter = 93, Error = 0.00203296054504, Accuracy = 0.9817, Time = 0.276399850845
Iter = 94, Error = 0.00199109512654, Accuracy = 0.9818, Time = 0.277402877808
Iter = 95, Error = 0.00195073827317, Accuracy = 0.9818, Time = 0.275323152542
Iter = 96, Error = 0.00191181699973, Accuracy = 0.9818, Time = 0.275196075439
Iter = 97, Error = 0.00187425873258, Accuracy = 0.9818, Time = 0.274947166443
Iter = 98, Error = 0.00183799710975, Accuracy = 0.9819, Time = 0.27562713623
Iter = 99, Error = 0.00180296966, Accuracy = 0.9819, Time = 0.274921178818
