Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.63371181488
Iter = 74, Error = 4.47020134123e-07, Accuracy = 0.9813, Time = 0.274919033051
Iter = 75, Error = 3.76657554292e-07, Accuracy = 0.9814, Time = 0.273220062256
Iter = 76, Error = 3.18211436118e-07, Accuracy = 0.9814, Time = 0.274530887604
Iter = 77, Error = 2.69632466488e-07, Accuracy = 0.9814, Time = 0.273728847504
Iter = 78, Error = 2.29161548277e-07, Accuracy = 0.9813, Time = 0.274985074997
Iter = 79, Error = 1.9548369744e-07, Accuracy = 0.9814, Time = 0.274462938309
Iter = 80, Error = 1.67298420446e-07, Accuracy = 0.9813, Time = 0.274610042572
Iter = 81, Error = 1.43736908134e-07, Accuracy = 0.9812, Time = 0.273442983627
Iter = 82, Error = 1.24038437265e-07, Accuracy = 0.9812, Time = 0.27600312233
Iter = 83, Error = 1.07566530801e-07, Accuracy = 0.9814, Time = 0.28332400322
Iter = 84, Error = 9.36298314129e-08, Accuracy = 0.9815, Time = 0.273653030396
Iter = 85, Error = 8.19581145298e-08, Accuracy = 0.9814, Time = 0.277240991592
Iter = 86, Error = 7.20959483191e-08, Accuracy = 0.9815, Time = 0.274060964584
Iter = 87, Error = 6.37873513714e-08, Accuracy = 0.9815, Time = 0.276374816895
Iter = 88, Error = 5.6661306744e-08, Accuracy = 0.9815, Time = 0.274041891098
Iter = 89, Error = 5.06633542189e-08, Accuracy = 0.9816, Time = 0.276132106781
Iter = 90, Error = 4.55433520655e-08, Accuracy = 0.9816, Time = 0.273921012878
Iter = 91, Error = 4.11574841909e-08, Accuracy = 0.9817, Time = 0.275403022766
Iter = 92, Error = 3.74125870664e-08, Accuracy = 0.9817, Time = 0.275796890259
Iter = 93, Error = 3.41329824365e-08, Accuracy = 0.9817, Time = 0.274971008301
Iter = 94, Error = 3.13381491351e-08, Accuracy = 0.9816, Time = 0.275427103043
Iter = 95, Error = 2.88928132973e-08, Accuracy = 0.9816, Time = 0.273473978043
Iter = 96, Error = 2.67836885214e-08, Accuracy = 0.9816, Time = 0.276740074158
Iter = 97, Error = 2.49600262806e-08, Accuracy = 0.9816, Time = 0.273864984512
Iter = 98, Error = 2.33229788571e-08, Accuracy = 0.9816, Time = 0.276272058487
Iter = 99, Error = 2.18606810057e-08, Accuracy = 0.9816, Time = 0.273697853088
