Couldn't import dot_parser, loading of dot files will not be possible.
784 10
3.7531452179
Iter = 0, Error = 0.759075761375, Accuracy = 0.8865, Time = 0.232914924622
Iter = 1, Error = 0.412578462411, Accuracy = 0.9, Time = 0.23015999794
Iter = 2, Error = 0.36087818055, Accuracy = 0.9073, Time = 0.225124120712
Iter = 3, Error = 0.335100865177, Accuracy = 0.9123, Time = 0.224862098694
Iter = 4, Error = 0.318469041811, Accuracy = 0.9164, Time = 0.23112487793
Iter = 5, Error = 0.306201926221, Accuracy = 0.9198, Time = 0.249357938766
Iter = 6, Error = 0.296336832368, Accuracy = 0.9227, Time = 0.248141050339
Iter = 7, Error = 0.287902950021, Accuracy = 0.924, Time = 0.231338024139
Iter = 8, Error = 0.280363446649, Accuracy = 0.9252, Time = 0.229272127151
Iter = 9, Error = 0.273399957877, Accuracy = 0.9271, Time = 0.228986024857
Iter = 10, Error = 0.266815718978, Accuracy = 0.9288, Time = 0.232894897461
Iter = 11, Error = 0.260487380311, Accuracy = 0.9295, Time = 0.2790620327
Iter = 12, Error = 0.254338664796, Accuracy = 0.9315, Time = 0.215708971024
Iter = 13, Error = 0.248324791546, Accuracy = 0.9328, Time = 0.223025083542
Iter = 14, Error = 0.24242242279, Accuracy = 0.935, Time = 0.235623121262
Iter = 15, Error = 0.236622505881, Accuracy = 0.9363, Time = 0.217490911484
Iter = 16, Error = 0.230925181971, Accuracy = 0.9388, Time = 0.252568006516
Iter = 17, Error = 0.225335889232, Accuracy = 0.9405, Time = 0.242622852325
Iter = 18, Error = 0.219862570257, Accuracy = 0.9417, Time = 0.223076105118
Iter = 19, Error = 0.214513779916, Accuracy = 0.9428, Time = 0.27752995491
Iter = 20, Error = 0.209297436154, Accuracy = 0.9445, Time = 0.219883918762
Iter = 21, Error = 0.204220208004, Accuracy = 0.9464, Time = 0.23916888237
Iter = 22, Error = 0.19928713362, Accuracy = 0.9475, Time = 0.21902179718
Iter = 23, Error = 0.19450164027, Accuracy = 0.9489, Time = 0.223875045776
Iter = 24, Error = 0.189865570963, Accuracy = 0.9508, Time = 0.237437963486
Iter = 25, Error = 0.185379310518, Accuracy = 0.952, Time = 0.220457077026
Iter = 26, Error = 0.181042022489, Accuracy = 0.9529, Time = 0.219295024872
Iter = 27, Error = 0.176851805862, Accuracy = 0.9545, Time = 0.217174053192
Iter = 28, Error = 0.172805881676, Accuracy = 0.9558, Time = 0.217402935028
Iter = 29, Error = 0.16890079429, Accuracy = 0.9561, Time = 0.217975854874
Iter = 30, Error = 0.165132518781, Accuracy = 0.9574, Time = 0.218339920044
Iter = 31, Error = 0.161496639061, Accuracy = 0.958, Time = 0.218728065491
Iter = 32, Error = 0.157988442742, Accuracy = 0.9587, Time = 0.216557025909
Iter = 33, Error = 0.154603053456, Accuracy = 0.9592, Time = 0.216539859772
Iter = 34, Error = 0.1513355012, Accuracy = 0.9595, Time = 0.220189094543
Iter = 35, Error = 0.148180823697, Accuracy = 0.9603, Time = 0.231035232544
Iter = 36, Error = 0.1451341375, Accuracy = 0.9609, Time = 0.217887878418
Iter = 37, Error = 0.142190647495, Accuracy = 0.9618, Time = 0.21910905838
Iter = 38, Error = 0.139345749231, Accuracy = 0.9621, Time = 0.22047996521
Iter = 39, Error = 0.136594996075, Accuracy = 0.9627, Time = 0.221837043762
Iter = 40, Error = 0.133934136709, Accuracy = 0.963, Time = 0.206073999405
Iter = 41, Error = 0.131359109136, Accuracy = 0.9634, Time = 0.216598033905
Iter = 42, Error = 0.128866061335, Accuracy = 0.9639, Time = 0.215219974518
Iter = 43, Error = 0.126451323442, Accuracy = 0.9644, Time = 0.218811035156
Iter = 44, Error = 0.124111425113, Accuracy = 0.9646, Time = 0.237112045288
Iter = 45, Error = 0.121843052856, Accuracy = 0.9646, Time = 0.226902008057
Iter = 46, Error = 0.119643089316, Accuracy = 0.965, Time = 0.218102931976
Iter = 47, Error = 0.117508575997, Accuracy = 0.9655, Time = 0.218379974365
Iter = 48, Error = 0.11543669564, Accuracy = 0.9657, Time = 0.219310998917
Iter = 49, Error = 0.113424805057, Accuracy = 0.966, Time = 0.217910051346
Iter = 50, Error = 0.11147038025, Accuracy = 0.9665, Time = 0.220371007919
Iter = 51, Error = 0.109571037752, Accuracy = 0.967, Time = 0.218069076538
Iter = 52, Error = 0.107724514802, Accuracy = 0.9673, Time = 0.216445922852
Iter = 53, Error = 0.10592868191, Accuracy = 0.9676, Time = 0.218571186066
Iter = 54, Error = 0.1041815027, Accuracy = 0.9678, Time = 0.21786904335
Iter = 55, Error = 0.102481048526, Accuracy = 0.9678, Time = 0.219404935837
Iter = 56, Error = 0.100825495623, Accuracy = 0.9683, Time = 0.219696044922
Iter = 57, Error = 0.0992131011699, Accuracy = 0.9684, Time = 0.257389068604
Iter = 58, Error = 0.097642225311, Accuracy = 0.9687, Time = 0.2263879776
Iter = 59, Error = 0.0961112911096, Accuracy = 0.969, Time = 0.211907863617
Iter = 60, Error = 0.0946188073348, Accuracy = 0.9692, Time = 0.215600013733
Iter = 61, Error = 0.0931633429321, Accuracy = 0.9693, Time = 0.230844974518
Iter = 62, Error = 0.0917435640665, Accuracy = 0.9694, Time = 0.211362123489
Iter = 63, Error = 0.0903581613365, Accuracy = 0.9695, Time = 0.21037197113
Iter = 64, Error = 0.0890059144334, Accuracy = 0.9697, Time = 0.20273399353
Iter = 65, Error = 0.0876856396103, Accuracy = 0.97, Time = 0.233812093735
Iter = 66, Error = 0.0863962258782, Accuracy = 0.9698, Time = 0.220582008362
Iter = 67, Error = 0.0851366006105, Accuracy = 0.9701, Time = 0.262539148331
Iter = 68, Error = 0.0839057406958, Accuracy = 0.9702, Time = 0.232695817947
Iter = 69, Error = 0.0827026682075, Accuracy = 0.9703, Time = 0.230030059814
Iter = 70, Error = 0.0815264473829, Accuracy = 0.9704, Time = 0.231523990631
Iter = 71, Error = 0.0803761883684, Accuracy = 0.9706, Time = 0.23108792305
Iter = 72, Error = 0.0792510297597, Accuracy = 0.9711, Time = 0.231624126434
Iter = 73, Error = 0.0781501642312, Accuracy = 0.9714, Time = 0.230398893356
Iter = 74, Error = 0.0770727953233, Accuracy = 0.9711, Time = 0.232700109482
Iter = 75, Error = 0.0760181738383, Accuracy = 0.9713, Time = 0.256467103958
Iter = 76, Error = 0.0749855878646, Accuracy = 0.9716, Time = 0.235392093658
Iter = 77, Error = 0.0739743344276, Accuracy = 0.972, Time = 0.239456892014
Iter = 78, Error = 0.0729837601056, Accuracy = 0.9721, Time = 0.248600006104
Iter = 79, Error = 0.0720132328475, Accuracy = 0.9723, Time = 0.232678890228
Iter = 80, Error = 0.0710621302104, Accuracy = 0.9725, Time = 0.278949975967
Iter = 81, Error = 0.0701298768134, Accuracy = 0.9727, Time = 0.245514154434
Iter = 82, Error = 0.0692159041686, Accuracy = 0.9727, Time = 0.23358798027
Iter = 83, Error = 0.0683196740835, Accuracy = 0.9727, Time = 0.234742879868
Iter = 84, Error = 0.0674406755549, Accuracy = 0.9728, Time = 0.551343917847
Iter = 85, Error = 0.0665784006381, Accuracy = 0.973, Time = 0.252901077271
Iter = 86, Error = 0.065732370195, Accuracy = 0.9731, Time = 0.225503921509
Iter = 87, Error = 0.0649021277633, Accuracy = 0.9731, Time = 0.286416053772
Iter = 88, Error = 0.0640872288876, Accuracy = 0.9733, Time = 0.215770959854
Iter = 89, Error = 0.0632872443117, Accuracy = 0.9736, Time = 0.203042030334
Iter = 90, Error = 0.0625017699655, Accuracy = 0.9737, Time = 0.203702926636
Iter = 91, Error = 0.0617304051347, Accuracy = 0.9738, Time = 0.286925077438
Iter = 92, Error = 0.0609727700877, Accuracy = 0.9739, Time = 0.232962846756
Iter = 93, Error = 0.0602285052671, Accuracy = 0.9742, Time = 0.228437900543
Iter = 94, Error = 0.0594972594834, Accuracy = 0.9743, Time = 0.262996196747
Iter = 95, Error = 0.0587786768237, Accuracy = 0.9744, Time = 0.229240894318
Iter = 96, Error = 0.058072456273, Accuracy = 0.9745, Time = 0.230431079865
Iter = 97, Error = 0.0573782649491, Accuracy = 0.9747, Time = 0.228860139847
Iter = 98, Error = 0.056695803402, Accuracy = 0.9748, Time = 0.215820789337
Iter = 99, Error = 0.0560247835196, Accuracy = 0.975, Time = 0.223841905594
