Couldn't import dot_parser, loading of dot files will not be possible.
784 10
4.13888311386
Iter = 76, Error = 0.0611348650692, Accuracy = 0.9733, Time = 0.288190126419
Iter = 77, Error = 0.0605592454934, Accuracy = 0.9734, Time = 0.281988143921
Iter = 78, Error = 0.0599935714494, Accuracy = 0.9738, Time = 0.284612178802
Iter = 79, Error = 0.0594375644551, Accuracy = 0.974, Time = 0.282845020294
Iter = 80, Error = 0.0588909549963, Accuracy = 0.9741, Time = 0.295401096344
Iter = 81, Error = 0.0583534841485, Accuracy = 0.9742, Time = 0.285650014877
Iter = 82, Error = 0.0578249034774, Accuracy = 0.9743, Time = 0.285518169403
Iter = 83, Error = 0.0573049783992, Accuracy = 0.9743, Time = 0.283153057098
Iter = 84, Error = 0.0567934786415, Accuracy = 0.9743, Time = 0.305045127869
Iter = 85, Error = 0.0562901795792, Accuracy = 0.9744, Time = 0.282016038895
Iter = 86, Error = 0.0557948709049, Accuracy = 0.9744, Time = 0.285156011581
Iter = 87, Error = 0.0553073490234, Accuracy = 0.9744, Time = 0.257292032242
Iter = 88, Error = 0.0548274157297, Accuracy = 0.9746, Time = 0.282096862793
Iter = 89, Error = 0.0543548816153, Accuracy = 0.9747, Time = 0.545345067978
Iter = 90, Error = 0.0538895696311, Accuracy = 0.9746, Time = 0.296375989914
Iter = 91, Error = 0.0534312956207, Accuracy = 0.9748, Time = 0.302448987961
Iter = 92, Error = 0.0529798886874, Accuracy = 0.9748, Time = 0.258279085159
Iter = 93, Error = 0.0525351890346, Accuracy = 0.9748, Time = 0.270672082901
Iter = 94, Error = 0.0520970320896, Accuracy = 0.9748, Time = 0.272747039795
Iter = 95, Error = 0.0516652698936, Accuracy = 0.9748, Time = 0.256211042404
Iter = 96, Error = 0.0512397486688, Accuracy = 0.9747, Time = 0.27433514595
Iter = 97, Error = 0.0508203315584, Accuracy = 0.9747, Time = 0.2820789814
Iter = 98, Error = 0.0504068768609, Accuracy = 0.9747, Time = 0.267086029053
Iter = 99, Error = 0.0499992521713, Accuracy = 0.9748, Time = 0.300550937653
