Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.87392616272
Iter = 75, Error = 0.00305443420149, Accuracy = 0.9798, Time = 0.335835933685
Iter = 76, Error = 0.00296595841481, Accuracy = 0.9798, Time = 0.329322814941
Iter = 77, Error = 0.00288181515042, Accuracy = 0.9796, Time = 0.331603765488
Iter = 78, Error = 0.00280173293285, Accuracy = 0.9798, Time = 0.335800886154
Iter = 79, Error = 0.00272545918664, Accuracy = 0.9798, Time = 0.327230930328
Iter = 80, Error = 0.002652758136, Accuracy = 0.98, Time = 0.343982934952
Iter = 81, Error = 0.00258340857081, Accuracy = 0.9801, Time = 0.327836036682
Iter = 82, Error = 0.00251720650086, Accuracy = 0.9801, Time = 0.327106952667
Iter = 83, Error = 0.00245395935584, Accuracy = 0.9802, Time = 0.327970027924
Iter = 84, Error = 0.00239349018111, Accuracy = 0.9803, Time = 0.336136817932
Iter = 85, Error = 0.00233563229516, Accuracy = 0.9805, Time = 0.326175928116
Iter = 86, Error = 0.00228023201296, Accuracy = 0.9805, Time = 0.328590869904
Iter = 87, Error = 0.00222714659453, Accuracy = 0.9805, Time = 0.326208114624
Iter = 88, Error = 0.0021762419658, Accuracy = 0.9807, Time = 0.327853918076
Iter = 89, Error = 0.00212739363002, Accuracy = 0.9808, Time = 0.326955080032
Iter = 90, Error = 0.00208048677508, Accuracy = 0.9808, Time = 0.326940059662
Iter = 91, Error = 0.00203541363597, Accuracy = 0.9808, Time = 0.331194877625
Iter = 92, Error = 0.0019920736227, Accuracy = 0.9808, Time = 0.330305099487
Iter = 93, Error = 0.00195037331128, Accuracy = 0.9808, Time = 0.650544881821
Iter = 94, Error = 0.0019102263672, Accuracy = 0.9809, Time = 0.33075594902
Iter = 95, Error = 0.0018715502581, Accuracy = 0.9808, Time = 0.605621099472
Iter = 96, Error = 0.00183426980161, Accuracy = 0.9807, Time = 0.348064899445
Iter = 97, Error = 0.00179831364309, Accuracy = 0.9807, Time = 0.349663972855
Iter = 98, Error = 0.00176361541766, Accuracy = 0.9807, Time = 0.349181175232
Iter = 99, Error = 0.00173011274569, Accuracy = 0.9807, Time = 0.348889112473
