Couldn't import dot_parser, loading of dot files will not be possible.
784 10
2.97782993317
Iter = 77, Error = 0.279236385737, Accuracy = 0.9254, Time = 0.203844070435
Iter = 78, Error = 0.278457101558, Accuracy = 0.9259, Time = 0.202706813812
Iter = 79, Error = 0.27768549748, Accuracy = 0.9259, Time = 0.203154087067
Iter = 80, Error = 0.276921287046, Accuracy = 0.9261, Time = 0.206739902496
Iter = 81, Error = 0.276164156035, Accuracy = 0.9266, Time = 0.212422132492
Iter = 82, Error = 0.275413850918, Accuracy = 0.9266, Time = 0.211714029312
Iter = 83, Error = 0.274670108524, Accuracy = 0.9272, Time = 0.330451965332
Iter = 84, Error = 0.273932660118, Accuracy = 0.9277, Time = 0.214807033539
Iter = 85, Error = 0.273201269757, Accuracy = 0.928, Time = 0.220372915268
Iter = 86, Error = 0.272475717242, Accuracy = 0.9283, Time = 0.217011928558
Iter = 87, Error = 0.271755784559, Accuracy = 0.9285, Time = 0.216415882111
Iter = 88, Error = 0.271041264696, Accuracy = 0.9289, Time = 0.216486930847
Iter = 89, Error = 0.27033195132, Accuracy = 0.9287, Time = 0.214276075363
Iter = 90, Error = 0.269627660932, Accuracy = 0.9289, Time = 0.211270809174
Iter = 91, Error = 0.268928204199, Accuracy = 0.929, Time = 0.21309709549
Iter = 92, Error = 0.268233413186, Accuracy = 0.9291, Time = 0.215222835541
Iter = 93, Error = 0.267543134901, Accuracy = 0.9292, Time = 0.210550069809
Iter = 94, Error = 0.266857199257, Accuracy = 0.9294, Time = 0.211652040482
Iter = 95, Error = 0.266175463014, Accuracy = 0.9296, Time = 0.210624933243
Iter = 96, Error = 0.265497765863, Accuracy = 0.9296, Time = 0.209821939468
Iter = 97, Error = 0.264823986041, Accuracy = 0.9296, Time = 0.211580038071
Iter = 98, Error = 0.264153991342, Accuracy = 0.9297, Time = 0.211244821548
Iter = 99, Error = 0.263487645313, Accuracy = 0.93, Time = 0.225841999054
